station_id,station_group_id,name_kanji,name_romaji,line_id,lon,lat,name_kana
10216,8598,松前,matsumae,537,132.705051,33.785965,まつまえ
10217,8599,地蔵町,jizoumachi,537,132.70429,33.779907,じぞうまち
10218,8600,新川,shinkawa,537,132.704148,33.772178,しんかわ
10219,8601,郡中,gunchuu,537,132.70406,33.760734,ぐんちゅう
10220,3941,郡中港,gunchuukou,537,132.702315,33.756302,ぐんちゅうこう
10221,8602,高浜,takahama,538,132.702177,33.883417,たかはま
10222,8603,梅津寺,baishinji,538,132.707595,33.874637,ばいしんじ
10223,8604,港山,minatoyama,538,132.713405,33.869533,みなとやま
10224,8605,三津,mitsu,538,132.720002,33.863864,みつ
10225,8606,山西,yamanishi,538,132.724326,33.855301,やまにし
10226,8607,西衣山,nishikinuyama,538,132.733989,33.850152,にしきぬやま
10227,8608,衣山,kinuyama,538,132.743997,33.8522,きぬやま
10228,8609,古町,komachi,538,132.754998,33.846978,こまち
10229,8610,大手町,ootemachi,538,132.755384,33.839726,おおてまち
10230,8591,松山市,matsuyamashi,538,132.762281,33.835656,まつやまし
10231,8591,松山市,matsuyamashi,539,132.762281,33.835656,まつやまし
10232,8611,石手川公園,ishidekawakouen,539,132.76935,33.831311,いしでかわこうえん
10233,8612,いよ立花,rikka,539,132.772944,33.827784,りっか
10234,8613,福音寺,fukuonji,539,132.788931,33.82261,ふくおんじ
10235,8614,北久米,kitakume,539,132.798664,33.819277,きたくめ
10236,8615,久米,kume,539,132.804555,33.816036,くめ
10237,8616,鷹ノ子,takago,539,132.815301,33.812542,たかご
10238,8617,平井,hirai,539,132.828617,33.808687,ひらい
10239,8618,梅本,umemoto,539,132.839307,33.800944,うめもと
10240,8619,牛渕団地前,ushifuchidanchimae,539,132.846051,33.797739,うしふちだんちまえ
10241,8620,牛渕,ushifuchi,539,132.856112,33.795212,うしふち
10242,8621,田窪,takubo,539,132.865413,33.792948,たくぼ
10243,8622,見奈良,minara,539,132.873374,33.792721,みなら
10244,8623,愛大医学部南口,aidaiigakubuminamiguchi,539,132.878659,33.797831,あいだいいがくぶみなみぐち
10245,8624,横河原,yokogawara,539,132.88434,33.803353,よこがわら
10246,8591,松山市駅前,matsuyamashiekimae,540,132.762587,33.836148,まつやましえきまえ
10247,8625,南堀端,minamihoribata,540,132.761664,33.839213,みなみほりばた
10248,8626,西堀端,nishihoribata,540,132.75866,33.840105,にしほりばた
10249,8610,大手町,ootemachi,540,132.755384,33.839726,おおてまち
10250,3935,松山駅前,matsuyamaekimae,540,132.752326,33.840765,まつやまえきまえ
10251,8627,宮田町,miyatamachi,540,132.752626,33.843948,みやたまち
10252,8609,古町,komachi,540,132.754998,33.846978,こまち
10253,8628,萱町六丁目,kayachouchoume,540,132.756226,33.851756,かやちょうちょうめ
10254,8629,本町六丁目,honchouchoume,540,132.758473,33.853472,ほんちょうちょうめ
10255,8630,木屋町,kiyachou,540,132.760776,33.853483,きやちょう
10256,8631,高砂町,takasagochou,540,132.762464,33.851664,たかさごちょう
10257,8632,清水町,shimizuchou,540,132.764281,33.849328,しみずちょう
10258,8633,鉄砲町,teppouchou,540,132.769011,33.84829,てっぽうちょう
10259,8634,赤十字病院前,sekijuujibyouinmae,540,132.772383,33.848115,せきじゅうじびょういんまえ
10260,8635,平和通一丁目,heiwatsuuchoume,540,132.774452,33.847673,へいわつうちょうめ
10261,8636,上一万,ue,540,132.775502,33.846737,うえ
10262,8637,警察署前,keisatsushomae,540,132.775354,33.844596,けいさつしょまえ
10263,8638,勝山町,katsuyamachou,540,132.774818,33.841709,かつやまちょう
10264,8639,大街道,ookaidou,540,132.769861,33.841103,おおかいどう
10265,8640,県庁前,kenchoumae,540,132.766364,33.841067,けんちょうまえ
